CITY,BLOCKGROUP
'CLEVELAND HEIGHTS',140400
'CLEVELAND HEIGHTS',140500
'CLEVELAND HEIGHTS',140100
'CLEVELAND HEIGHTS',141700
'CLEVELAND HEIGHTS',141602
'CLEVELAND HEIGHTS',140702
'CLEVELAND HEIGHTS',140302
'UNIVERSITY HEIGHTS',187103
'UNIVERSITY HEIGHTS',187104
'UNIVERSITY HEIGHTS',187105
'UNIVERSITY HEIGHTS',187106
'BEACHWOOD',131103
'BEACHWOOD',131104
'BEACHWOOD',131102
'SHAKER HEIGHTS',183100
'SHAKER HEIGHTS',183200
'SHAKER HEIGHTS',183300
'SHAKER HEIGHTS',183401
'SHAKER HEIGHTS',183603
'SHAKER HEIGHTS',183501
'SHAKER HEIGHTS',183402
'SHAKER HEIGHTS',183604
'SHAKER HEIGHTS',183502
'SHAKER HEIGHTS',183605
'SHAKER HEIGHTS',183606
'HIGHLAND HILLS',193900
'WARRENSVILLE HEIGHTS',188103
'WARRENSVILLE HEIGHTS',188104
'WARRENSVILLE HEIGHTS',188105
'WARRENSVILLE HEIGHTS',188106
'NORTH RANDALL',193800
'SOLON (MOST)√',184103
'SOLON (MOST)√',184104
'SOLON (MOST)√',184106
'SOLON (MOST)√',184105
'SOLON (MOST)√',184108
'SOLON-BENTLEYVILLE√',195800
'BEDFORD HEIGHTS',195600
'BEDFORD HEIGHTS',133103
'BEDFORD HEIGHTS',133104
'OAKWOOD-GLENWILLOW√',195700
'WALTON HILLS',194100
'BEDFORD',132100
'BEDFORD',132200
'BEDFORD',132302
'BEDFORD',132301
'MAPLE HEIGHTS',171102
'MAPLE HEIGHTS',171203
'MAPLE HEIGHTS',171103
'MAPLE HEIGHTS',171204
'MAPLE HEIGHTS',171104
'MAPLE HEIGHTS',171205
'MAPLE HEIGHTS',171206
'GARFIELD HEIGHTS',154100
'GARFIELD HEIGHTS',154200
'GARFIELD HEIGHTS',154300
'GARFIELD HEIGHTS',154400
'GARFIELD HEIGHTS',154501
'GARFIELD HEIGHTS',154601
'GARFIELD HEIGHTS',154700
'GARFIELD HEIGHTS',154502
'GARFIELD HEIGHTS',154603
'GARFIELD HEIGHTS',154604
'VALLEY VIEW',192900
'INDEPENDENCE',156101
'INDEPENDENCE',156102
'BRECKSVILLE',135103
'BRECKSVILLE',135104
'BRECKSVILLE',135105
'BRECKSVILLE',135106
'BROADVIEW HEIGHTS',136101
'BROADVIEW HEIGHTS',136102
'BROADVIEW HEIGHTS',136103
'SEVEN HILLS',182103
'SEVEN HILLS',182104
'SEVEN HILLS',182105
'SEVEN HILLS',182106
'BROOKLYN HEIGHTS',192300
'NEWBURGH HEIGHTS-CUYAHOGA HEIGHTS√',196100
'NORTH ROYALTON',175103
'NORTH ROYALTON',175201
'NORTH ROYALTON',175104
'NORTH ROYALTON',175202
'NORTH ROYALTON',175105
'NORTH ROYALTON',175106
'PARMA HEIGHTS',178101
'PARMA HEIGHTS',178201
'PARMA HEIGHTS',178102
'PARMA HEIGHTS',178204
'PARMA HEIGHTS',178205
'PARMA HEIGHTS',178206
'PARMA',177101
'PARMA',177201
'PARMA',177303
'PARMA',177403
'PARMA',177501
'PARMA',177605
'PARMA',177103
'PARMA',177202
'PARMA',177304
'PARMA',177404
'PARMA',177503
'PARMA',177604
'PARMA',177104
'PARMA',177302
'PARMA',177405
'PARMA',177504
'PARMA',177606
'PARMA',177406
'PARMA',177505
'PARMA',177607
'PARMA',177608
'PARMA',177609
'BROOKLYN',137101
'BROOKLYN',137102
'BROOKLYN',137103
'LAKEWOOD',160100
'LAKEWOOD',160200
'LAKEWOOD',160300
'LAKEWOOD',160400
'LAKEWOOD',160500
'LAKEWOOD',160601
'LAKEWOOD',160700
'LAKEWOOD',160800
'LAKEWOOD',161000
'LAKEWOOD',161100
'LAKEWOOD',161200
'LAKEWOOD',161300
'LAKEWOOD',161400
'LAKEWOOD',161500
'LAKEWOOD',161600
'LAKEWOOD',161700
'LAKEWOOD',161800
'LAKEWOOD',160602
'FAIRVIEW PARK',153105
'FAIRVIEW PARK',153107
'FAIRVIEW PARK',153104
'FAIRVIEW PARK',153106
'FAIRVIEW PARK',153103
'ROCKY RIVER',181100
'ROCKY RIVER',181201
'ROCKY RIVER',181203
'ROCKY RIVER',181204
'STRONGSVILLE',186103
'STRONGSVILLE',186206
'STRONGSVILLE',186107
'STRONGSVILLE',186205
'STRONGSVILLE',186104
'STRONGSVILLE',186202
'STRONGSVILLE',186106
'STRONGSVILLE',186201
'STRONGSVILLE',186105
'STRONGSVILLE',186203
'MIDDLEBURG HEIGHTS',173104
'MIDDLEBURG HEIGHTS',173107
'MIDDLEBURG HEIGHTS',173106
'MIDDLEBURG HEIGHTS',173103
'MIDDLEBURG HEIGHTS',173105
'BROOK PARK',981100
'BROOK PARK',138107
'BROOK PARK',138109
'BROOK PARK',138106
'BROOK PARK',138108
'BROOK PARK',138110
'BEREA',134100
'BEREA',134203
'BEREA',134300
'BEREA',134205
'BEREA',134204
'BEREA',134206
'OLMSTED TOWNSHIP',190504
'OLMSTED TOWNSHIP',176100
'OLMSTED TOWNSHIP',176200
'OLMSTED TOWNSHIP',190502
'OLMSTED TOWNSHIP',190503
'NORTH OLMSTED',174104
'NORTH OLMSTED',174203
'NORTH OLMSTED',174103
'NORTH OLMSTED',174204
'NORTH OLMSTED',174106
'NORTH OLMSTED',174205
'NORTH OLMSTED',174105
'NORTH OLMSTED',174206
'NORTH OLMSTED',174107
'NORTH OLMSTED',174207
'WESTLAKE',189110
'WESTLAKE',189111
'WESTLAKE',189108
'WESTLAKE',189109
'WESTLAKE',189105
'WESTLAKE',189107
'WESTLAKE',189112
'BAY VILLAGE',130103
'BAY VILLAGE',130104
'BAY VILLAGE',130105
'BAY VILLAGE',130106
