CensusTract,Total_Population,Men,Women
39035152604,4188,1849,2339
39035152701,2222,903,1319
39035152702,2159,884,1275
39035152703,1812,731,1081
39035153103,2760,1389,1371
39035153104,3078,1491,1587
39035153105,3831,1723,2108
39035153106,3546,1750,1796
39035153107,3337,1690,1647
39035154100,2101,933,1168
39035154200,1354,691,663
39035154300,1132,457,675
39035154400,2855,1367,1488
39035154501,3424,1395,2029
39035154502,3131,1340,1791
39035154601,4640,2213,2427
39035154603,3418,1594,1824
39035154604,3903,1783,2120
39035154700,2407,1081,1326
39035155101,5258,2792,2466
39035155102,3079,1567,1512
39035156101,1345,692,653
39035156102,5799,2940,2859
39035160100,1876,984,892
39035160200,2225,1069,1156
39035160300,1906,937,969
39035160400,3242,1613,1629
39035160500,3692,1816,1876
39035160601,5046,2237,2809
39035160602,2915,1403,1512
39035160700,1654,828,826
39035160800,1068,593,475
39035160900,3830,1836,1994
39035161000,1758,870,888
39035161100,3739,1773,1966
39035161200,2892,1441,1451
39035161300,2836,1192,1644
39035161400,3164,1704,1460
39035161500,3889,2035,1854
39035161600,2067,987,1080
39035161700,2196,1153,1043
39035161800,1160,549,611
39035170101,2722,1312,1410
39035170102,5242,2642,2600
39035170201,2090,1043,1047
39035170202,3738,1739,1999
39035171102,4801,2060,2741
39035171103,3979,1797,2182
39035171104,4716,2315,2401
39035171203,2544,1239,1305
39035171204,1895,771,1124
39035171205,2527,1057,1470
39035171206,2330,1021,1309
39035172101,2486,1212,1274
39035172102,3613,1641,1972
39035172103,5054,2172,2882
39035172201,3863,1706,2157
39035172202,3902,1929,1973
39035173103,2747,1265,1482
39035173104,4278,1898,2380
39035173105,2573,1328,1245
39035173106,3800,1798,2002
39035173107,2392,1177,1215
39035174103,2944,1605,1339
39035174104,2362,1179,1183
39035174105,2922,1463,1459
39035174106,2875,1352,1523
39035174107,3956,1725,2231
39035174203,3127,1490,1637
39035174204,3929,1962,1967
39035174205,4802,2207,2595
39035174206,1966,1021,945
39035174207,3365,1518,1847
39035175103,6966,3191,3775
39035175104,6314,3131,3183
39035175105,4704,2387,2317
39035175106,3037,1560,1477
39035175201,6286,3228,3058
39035175202,3014,1388,1626
39035176100,2186,995,1191
39035176200,5526,2585,2941
39035177101,3952,1787,2165
39035177103,3852,1916,1936
39035177104,3406,1780,1626
39035177201,4154,2065,2089
39035177202,3444,1775,1669
39035177302,2407,1179,1228
39035177303,4792,2373,2419
39035177304,3458,1609,1849
39035177403,3120,1358,1762
39035177404,2766,1338,1428
39035177405,4506,2216,2290
39035177406,4194,2133,2061
39035177501,4175,1991,2184
39035177503,3558,1547,2011
39035177504,3899,1926,1973
39035177505,4510,2318,2192
39035177604,2110,1116,994
39035177605,2761,1394,1367
39035177606,3665,1836,1829
39035177607,4079,2018,2061
39035177608,5560,2633,2927
39035177609,2012,946,1066
39035178101,2724,1233,1491
39035178102,4864,2317,2547
39035178201,3366,1550,1816
39035178204,4460,2157,2303
39035178205,2146,984,1162
39035178206,2849,1371,1478
39035179101,3182,1375,1807
39035179102,2933,1499,1434
39035180102,4008,1817,2191
39035180103,3643,1597,2046
39035180104,2834,1194,1640
39035181100,6169,2743,3426
39035181201,5799,2629,3170
39035181203,3123,1477,1646
39035181204,5096,2413,2683
39035182103,2549,1269,1280
39035182104,2441,1208,1233
39035182105,3655,1748,1907
39035182106,3071,1563,1508
39035183100,2837,1377,1460
39035183200,2397,1121,1276
39035183300,4311,2133,2178
39035183401,2110,1034,1076
39035183402,1302,520,782
39035183501,3291,1269,2022
39035183502,3603,1735,1868
39035183603,1502,665,837
39035183604,2121,882,1239
39035183605,2789,1251,1538
39035183606,1671,732,939
39035184103,3941,1885,2056
39035184104,1835,951,884
39035184105,4661,2124,2537
39035184106,2329,1067,1262
39035184108,7420,3829,3591
39035185101,2540,1036,1504
39035185102,2762,1344,1418
39035185103,2143,893,1250
39035185104,4034,1706,2328
39035185201,1766,800,966
39035185202,4885,2516,2369
39035185203,3841,1752,2089
39035186103,4136,1979,2157
39035186104,2635,1253,1382
39035186105,3538,1722,1816
39035186106,5138,2500,2638
39035186107,5685,2583,3102
39035186201,5959,3019,2940
39035186202,4617,2154,2463
39035186203,3673,1864,1809
39035186205,5042,2431,2611
39035186206,4226,2149,2077
39035187103,2853,1279,1574
39035187104,3239,1447,1792
39035187105,3085,1472,1613
39035187106,4154,2132,2022
39035188103,3530,1742,1788
39035188104,1622,756,866
39035188105,3360,1341,2019
39035188106,2377,975,1402
39035188107,2427,1092,1335
39035189105,4109,2044,2065
39035189107,4780,2172,2608
39035189108,5146,2347,2799
39035189109,3206,1374,1832
39035189110,4323,2090,2233
39035189111,6977,3360,3617
39035189112,3928,2007,1921
39035190502,2135,931,1204
39035190503,1699,796,903
39035190504,10697,5557,5140
39035192300,1526,680,846
39035192800,1153,550,603
39035192900,1956,952,1004
39035193800,998,485,513
39035193900,970,611,359
39035194100,2288,1063,1225
39035194300,3421,1604,1817
39035194500,2179,1062,1117
39035194800,925,434,491
39035194900,3288,1659,1629
39035195600,4611,2375,2236
39035195700,4699,2234,2465
39035195800,3866,1814,2052
39035195900,4177,1772,2405
39035196000,1551,743,808
39035196100,2628,1272,1356
39035196200,3870,1666,2204
39035196300,4009,1988,2021
39035196400,2867,1339,1528
39035196500,1564,790,774
